date,capacity_mw,month,year,season,mwincrease,decay,sumdecay,adjustedcapacity,ghi_kwh_m2_day,capacity_factor,generation_gwh
2023-07,299.186,7,2023,Winter,6.139999999999986,0.026875,1.1303349999999996,298.055665,2.0642,0.086008333,19.07264161
2023-08,307.013,8,2023,Winter,7.826999999999998,0.035760000000000076,1.1660949999999997,305.846905,2.9635,0.12347916666666665,28.097696391992496
2023-09,313.393,9,2023,Spring,6.3799999999999955,0.035075,1.2011699999999996,312.19183,3.69,0.15375,34.55963558
2023-10,322.556,10,2023,Spring,9.163000000000011,0.026154999999999973,1.2273249999999996,321.328675,5.5906,0.23294166666666669,55.68902280410501
2023-11,371.545,11,2023,Spring,48.98900000000003,0.036435,1.2637599999999996,370.28124,6.1334,0.25555833333333333,68.13248872
2023-12,378.681,12,2023,Summer,7.135999999999967,0.030805000000000006,1.2945649999999995,377.386435,6.2714,0.2613083333333333,73.36897994222899
2024-01,384.136,1,2024,Summer,5.455000000000041,0.019294999999999903,1.3138599999999994,382.82214000000005,7.327,0.3052916666666667,86.95307241318001
2024-02,391.712,2,2024,Summer,7.575999999999965,0.026285000000000027,1.3401449999999995,390.371855,6.4841,0.2701708333333333,73.40509420515949
2024-03,399.956,3,2024,Autumn,8.244000000000028,-0.00346,1.3366849999999995,398.61931500000003,4.8283,0.20117916666666666,59.6642628
2024-04,409.551,4,2024,Autumn,9.595,0.029995,1.3666799999999997,408.18432,3.0804,0.12835,37.721129379839994
2024-05,426.317,5,2024,Autumn,16.76600000000002,0.03684,1.4035199999999997,424.91348,2.3741,0.098920833,31.27239988
2024-06,434.52,6,2024,Winter,8.202999999999975,0.03291,1.4364299999999997,433.08357,1.5528,0.0647,20.17476502
2024-07,442.573,7,2024,Winter,8.052999999999997,0.030699999999999932,1.4671299999999996,441.10587,1.9471,0.081129167,26.625194423786997
2024-08,449.691,8,2024,Winter,7.117999999999995,0.039135,1.5062649999999995,448.184735,2.7017,0.11257083333333334,37.536681655034506
2024-09,461.315,9,2024,Spring,11.624000000000024,0.0319,1.5381649999999996,459.776835,4.0356,0.16815,55.66426186
2024-10,475.766,10,2024,Spring,14.451000000000022,0.045815,1.5839799999999997,474.18202,4.7482,0.19784166666666667,69.79684309
